Garbage Word,Count
…,1
¢,1
â,1
‚,1
¬,1
Â,1
¦,1
20,1
Ã,1
’,1
09,1
1,1
30,1
„,1
4,1
0,1
”,1
•,1
�,1
�‍…,1
97,1
😂,1
°,1
Å,1
¸,1
€,1
˜,1
ï,1
†,1
,1
,1
¼,1
½,1
50,1
500,1
2016,1
287,1
“,1
49,1
‘,1
2050,1
90,1
1990,1
2017,1
ฉันชอบวิดีโอ,1
3,1
œ,1
😍,1
😌,1
9,1
18,1
19,1
59,1
326,1
16,1
22,1
52,1
123,1
—,1
501,1
822,1
131,1
¹,1
111,1
15,1
8,1
67,1
5,1
56700,1
40,1
21,1
32,1
,1
100,1
2010201,1
7,1
2011,1
5Ã,1
¯,1
Æ,1
£,1
�‍♂,1
️,1
60,1
209,1
2,1
–,1
73,1
61,1
17,1
84,1
96,1
😩,1
¿,1
₂,1
35,1
🌍,1
💀,1
ÃƒÂ,1
¨,1
12,1
·,1
¾,1
Ëœâ,1
202 2243121,1
350,1
1814,1
91,1
24,1
775,1
18001930,1
9000,1
37,1
✈,1
420,1
21Ã,1
64,1
2018,1
97Ã,1
10,1
1963,1
70,1
,1
132,1
115,1
178,1
174,1
161,1
1999,1
2008,1
9125663,1
6,1
2020,1
0012,1
74,1
45,1
200,1
☀,1
23,1
02,1
2025,1
53,1
1991,1
3000,1
14,1
1936,1
36,1
185234,1
635,1
8156727,1
94,1
44,1
195198,1
2019,1
766,1
81,1
77,1
28,1
63,1
☕,1
ËœÂºÃ,1
25,1
1899,1
�‍♀,1
0688,1
59000,1
58,1
51000,1
280,1
11,1
316,1
9112001,1
65,1
➡,1
13,1
92,1
86,1
´,1
80,1
6886,1
911,1
🌏,1
1968,1
➜,1
888,1
234,1
1977,1
😁,1
68,1
2013,1
1776,1
78,1
1966,1
47,1
1947,1
33,1
202,1
2200000000,1
1950,1
140,1
271,1
82,1
600,1
99,1
🚨,1
2030,1
2009,1
170,1
🌴,1
🌳,1
🌲,1
🌻,1
🍄,1
🌤,1
🌱,1
🦋,1
🐞,1
🐾,1
🌈,1
🏔,1
2012,1
😑,1
❄,1
：,1
，,1
😜,1
3222,1
1200,1
→,1
1046,1
œÂ,1
116,1
™,1
2006,1
08,1
🙃,1
429,1
1100,1
1403,1
01,1
Новости,1
¡,1
Ëœï,1
42,1
2121,1
010536,1
1998,1
1812,1
67392,1
ËœÅ,1
»,1
ËœÂ,1
76,1
550,1
℃,1
­,1
1222,1
2010,1
75,1
312,1
1130,1
110,1
1970,1
1957,1
2067,1
004,1
360,1
824,1
1967,1
46,1
60Ã,1
79,1
😳,1
⏰,1
26,1
😔,1
15000,1
2015,1
🤡,1
2014,1
233,1
¥,1
150,1
320,1
⬆,1
300000,1
❤,1
191,1
39,1
417,1
2100,1
950,1
🤣,1
1015,1
▶,1
89,1
98,1
ž,1
¤,1
503,1
323,1
34,1
🤗,1
66,1
2⃣,1
65708,1
👑,1
27000,1
800,1
1958,1
2007,1
11500,1
640,1
730,1
425,1
☔,1
0400,1
4761,1
995,1
606,1
981,1
2749,1
1900,1
947,1
⛄,1
அமெரிக்காவிற்கு,1
ஒரு,1
மோடி,1
இந்தியாவிற்கு,1
டிரம்ப்,1
1010,1
§,1
71,1
2000,1
🌎,1
1940,1
125,1
60000,1
2022243121,1
8979,1
😄,1
⏳,1
800000,1
215,1
≠,1
247,1
99999,1
112,1
🙄,1
333,1
ËœË,1
2099,1
☄,1
☁,1
72701,1
723,1
ทีนี้,1
ประเด็นคือ,1
พวกสนธิสัญญาหรือความตกลงในเรื่อง,1
มักจะให้เลิกใช้สารทำความเย็นหลายตัว,1
ขอนุญาตไม่ยกชื่อสารเพราะ,1
5591,1
54,1
127150,1
1800,1
994874,1
―,1
000111,1
😴,1
22314,1
10Ã,1
³,1
830,1
216,1
51,1
1934,1
1965,1
300,1
